seq,robot_id,source_timestamp_ns,adapter_receive_time_ns,adapter_publish_time_ns,adapter_publish_monotonic_ns,source_to_receive_ms,receive_to_publish_ms,publish_period_ms,x,y,z,yaw_rad,v_linear_x,v_linear_y,v_linear_z,v_angular_x,v_angular_y,v_angular_z
35,go2_001,5070500000000,1776851883836714037,1776851883837938167,29996085340735,1776846813336.714,1.224,49.950,0.679018,-1.019138,0.000000,-2.374620,-0.017797,-0.006802,0.000000,0.000000,0.000000,-0.099324
36,go2_001,5070535000000,1776851883877921169,1776851883888150557,29996135553301,1776846813342.921,10.229,50.212,0.680060,-1.016340,0.000000,-2.376982,-0.022703,-0.009002,0.000000,0.000000,0.000000,-0.101910
37,go2_001,5070575000000,1776851883919873504,1776851883937974202,29996185376663,1776846813344.874,18.101,49.824,0.682263,-1.016565,0.000000,-2.391498,-0.023497,-0.004273,0.000000,0.000000,0.000000,-0.366598
38,go2_001,5070635000000,1776851883981578767,1776851883988150045,29996235552509,1776846813346.579,6.571,50.176,0.683547,-1.017166,0.000000,-2.431429,-0.021079,-0.001063,0.000000,0.000000,0.000000,-0.771139
39,go2_001,5070700000000,1776851884033973249,1776851884037980575,29996285382851,1776846813333.973,4.007,49.831,0.683659,-1.017225,0.000000,-2.479570,-0.017839,-0.000977,0.000000,0.000000,0.000000,-0.800622
40,go2_001,5070740000000,1776851884075239507,1776851884088478488,29996335880957,1776846813335.240,13.239,50.498,0.683581,-1.015581,0.000000,-2.513736,-0.018578,-0.004089,0.000000,0.000000,0.000000,-0.912195
41,go2_001,5070800000000,1776851884137866825,1776851884138105527,29996385507971,1776846813337.867,0.239,49.627,0.686258,-1.012952,0.000000,-2.578728,-0.024379,-0.004505,0.000000,0.000000,0.000000,-0.840412
42,go2_001,5070835000000,1776851884179326847,1776851884188003551,29996435406464,1776846813344.327,8.677,49.898,0.686324,-1.011403,0.000000,-2.597039,-0.024767,-0.007107,0.000000,0.000000,0.000000,-0.608991
43,go2_001,5070875000000,1776851884221524883,1776851884237933843,29996485336206,1776846813346.525,16.409,49.930,0.686857,-1.013497,0.000000,-2.617867,-0.020178,-0.002366,0.000000,0.000000,0.000000,-0.460586
44,go2_001,5070930000000,1776851884282643762,1776851884288168273,29996535572260,1776846813352.644,5.525,50.234,0.686856,-1.013714,0.000000,-2.638696,-0.017136,-0.002105,0.000000,0.000000,0.000000,-0.345261
45,go2_001,5070990000000,1776851884325094474,1776851884338007064,29996585410028,1776846813335.094,12.913,49.839,0.689173,-1.014168,0.000000,-2.648572,-0.018512,0.001839,0.000000,0.000000,0.000000,-0.181382
46,go2_001,5071030000000,1776851884368861380,1776851884388066985,29996635469355,1776846813338.861,19.206,50.060,0.694376,-1.011134,0.000000,-2.641394,-0.030744,0.002525,0.000000,0.000000,0.000000,0.149299
47,go2_001,5071075000000,1776851884421358464,1776851884437987285,29996685389636,1776846813346.359,16.629,49.920,0.700450,-1.011682,0.000000,-2.633914,-0.038818,0.010909,0.000000,0.000000,0.000000,0.043817
48,go2_001,5071135000000,1776851884486866175,1776851884488222479,29996735625512,1776846813351.866,1.356,50.235,0.708024,-1.013324,0.000000,-2.661498,-0.046406,0.021601,0.000000,0.000000,0.000000,-0.407564
49,go2_001,5071190000000,1776851884525357595,1776851884538037582,29996785440039,1776846813335.358,12.680,49.815,0.707635,-1.013550,0.000000,-2.691027,-0.040207,0.018986,0.000000,0.000000,0.000000,-0.480579
50,go2_001,5071230000000,1776851884567090069,1776851884588064811,29996835467392,1776846813337.090,20.975,50.027,0.709025,-1.014613,0.000000,-2.704774,-0.038594,0.020854,0.000000,0.000000,0.000000,-0.565480
51,go2_001,5071290000000,1776851884629229135,1776851884637937232,29996885339645,1776846813339.229,8.708,49.872,0.712877,-1.007649,0.000000,-2.755710,-0.049102,0.008459,0.000000,0.000000,0.000000,-0.776925
52,go2_001,5071330000000,1776851884670740627,1776851884687973339,29996935375792,1776846813340.741,17.233,50.036,0.715595,-1.007583,0.000000,-2.778542,-0.050746,0.010146,0.000000,0.000000,0.000000,-0.601243
53,go2_001,5071385000000,1776851884733005838,1776851884738223728,29996985626284,1776846813348.006,5.218,50.250,0.715274,-1.007952,0.000000,-2.809127,-0.044027,0.008875,0.000000,0.000000,0.000000,-0.582390
