10:46:28,300 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,351 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,401 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,450 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,499 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,550 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,600 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,651 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,700 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,750 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,800 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,850 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,900 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:28,950 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,001 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,050 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,101 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,150 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,201 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,251 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,302 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,351 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,402 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,450 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,501 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,550 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,600 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,650 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,701 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,750 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,801 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,853 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,900 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:29,951 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,001 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,050 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,100 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,151 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,202 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,252 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,301 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,351 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,400 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,450 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,500 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,551 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,600 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,650 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,702 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,751 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,802 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,850 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,901 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:30,952 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:31,000 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:31,050 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:31,101 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:31,150 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:31,200 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:31,252 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:31,300 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
10:46:31,351 INFO  [main] portico.lrc: SUCCESS Updated object [2097153], attributes [738, 742, 745] (RO)
