seq,robot_id,timestamp_ns,publish_time_ns,publish_dt_ms,x,y,yaw_rad,yaw_deg,v_linear,v_angular
65,go2_001,1439040000000,1776178061416554963,49.802,0.112199,-0.167233,1.040149,59.596144,0.000001,-0.012107
66,go2_001,1439080000000,1776178061466581181,50.026,0.112199,-0.167233,1.040782,59.632422,0.000001,0.007844
67,go2_001,1439140000000,1776178061516561760,49.981,0.112199,-0.167233,1.040216,59.599980,0.000001,-0.023081
68,go2_001,1439180000000,1776178061566550524,49.989,0.112199,-0.167233,1.040738,59.629883,0.000001,-0.002670
69,go2_001,1439240000000,1776178061616573871,50.023,0.112199,-0.167233,1.040618,59.623015,0.000001,-0.008916
70,go2_001,1439280000000,1776178061666602348,50.028,0.112199,-0.167233,1.040394,59.610208,0.000001,-0.011724
71,go2_001,1439320000000,1776178061716578289,49.976,0.112199,-0.167233,1.040389,59.609886,0.000001,-0.007342
72,go2_001,1439380000000,1776178061766551586,49.973,0.112199,-0.167233,1.039998,59.587513,0.000001,-0.012132
73,go2_001,1439440000000,1776178061816566823,50.015,0.112199,-0.167233,1.040340,59.607093,0.000000,0.003296
74,go2_001,1439480000000,1776178061866559607,49.993,0.112199,-0.167233,1.040241,59.601431,0.000000,-0.006790
75,go2_001,1439540000000,1776178061916544554,49.985,0.112199,-0.167233,1.039938,59.584069,0.000000,-0.009001
76,go2_001,1439580000000,1776178061966558525,50.014,0.112199,-0.167233,1.039500,59.558953,0.000000,-0.017591
77,go2_001,1439640000000,1776178062016522546,49.964,0.112199,-0.167233,1.040095,59.593036,0.000000,-0.001232
78,go2_001,1439680000000,1776178062066598696,50.076,0.112199,-0.167233,1.040358,59.608127,0.000000,-0.004695
79,go2_001,1439740000000,1776178062116565330,49.967,0.112199,-0.167233,1.041081,59.649572,0.000000,0.007471
80,go2_001,1439780000000,1776178062166586715,50.021,0.112199,-0.167233,1.040875,59.637740,0.000000,-0.008434
81,go2_001,1439840000000,1776178062216575850,49.989,0.112199,-0.167233,1.040868,59.637340,0.000000,-0.012069
82,go2_001,1439880000000,1776178062266578844,50.003,0.112199,-0.167233,1.040430,59.612255,0.000000,-0.011401
83,go2_001,1439940000000,1776178062316481995,49.903,0.112199,-0.167233,1.039833,59.578064,0.000000,-0.002105
84,go2_001,1439980000000,1776178062366600900,50.119,0.112199,-0.167233,1.039797,59.575973,0.000000,-0.003326
85,go2_001,1440040000000,1776178062416743783,50.143,0.112199,-0.167233,1.040180,59.597939,0.000000,-0.012236
86,go2_001,1440080000000,1776178062466761342,50.018,0.112199,-0.167233,1.040645,59.624540,0.000000,0.000499
87,go2_001,1440140000000,1776178062516562217,49.801,0.112199,-0.167233,1.040775,59.632036,0.000000,0.002742
88,go2_001,1440180000000,1776178062566558561,49.996,0.112199,-0.167233,1.040323,59.606144,0.000000,-0.019204
89,go2_001,1440220000000,1776178062616652867,50.094,0.112199,-0.167233,1.040863,59.637051,0.000000,-0.003688
90,go2_001,1440280000000,1776178062666557646,49.905,0.112199,-0.167233,1.040688,59.627008,0.000000,-0.005029
91,go2_001,1440340000000,1776178062716597645,50.040,0.112199,-0.167233,1.039961,59.585396,0.000000,-0.017670
92,go2_001,1440380000000,1776178062766568475,49.971,0.112199,-0.167233,1.039673,59.568893,0.000000,-0.008405
93,go2_001,1440440000000,1776178062816574338,50.006,0.112199,-0.167233,1.039553,59.561971,0.000000,-0.002103
94,go2_001,1440480000000,1776178062866556561,49.982,0.112199,-0.167233,1.039692,59.569935,0.000000,-0.009243
95,go2_001,1440540000000,1776178062916601998,50.045,0.112199,-0.167233,1.040688,59.627012,0.000000,0.002787
96,go2_001,1440580000000,1776178062966586727,49.985,0.112199,-0.167233,1.040598,59.621856,0.000000,-0.010940
97,go2_001,1440640000000,1776178063016588231,50.002,0.112199,-0.167233,1.040122,59.594604,0.000000,-0.027673
98,go2_001,1440675000000,1776178063066688745,50.101,0.112199,-0.167233,1.040605,59.622259,0.000000,-0.005959
99,go2_001,1440735000000,1776178063116520645,49.832,0.112199,-0.167233,1.040230,59.600794,0.000000,-0.016025
100,go2_001,1440775000000,1776178063166637438,50.117,0.112199,-0.167233,1.040211,59.599696,0.000000,-0.015070
101,go2_001,1440815000000,1776178063216511828,49.874,0.112199,-0.167233,1.040334,59.606730,0.000000,-0.010891
102,go2_001,1440875000000,1776178063266580264,50.068,0.112199,-0.167233,1.039603,59.564866,0.000000,-0.021382
103,go2_001,1440935000000,1776178063316585442,50.005,0.112199,-0.167233,1.039687,59.569688,0.000000,0.002576
104,go2_001,1440975000000,1776178063366583429,49.998,0.112199,-0.167233,1.040031,59.589391,0.000000,0.005079
105,go2_001,1441035000000,1776178063416516277,49.933,0.112199,-0.167233,1.040611,59.622606,0.000000,0.006071
106,go2_001,1441075000000,1776178063466568291,50.052,0.112199,-0.167233,1.040695,59.627455,0.000000,-0.002076
107,go2_001,1441115000000,1776178063516548736,49.980,0.112199,-0.167233,1.040470,59.614528,0.000000,-0.011800
108,go2_001,1441175000000,1776178063566559884,50.011,0.112199,-0.167233,1.040081,59.592230,0.000000,-0.008667
109,go2_001,1441215000000,1776178063616589036,50.029,0.112199,-0.167233,1.039885,59.581000,0.000000,-0.011354
110,go2_001,1441295000000,1776178063666570023,49.981,0.112199,-0.167233,1.040012,59.588270,0.000000,-0.003913
111,go2_001,1441335000000,1776178063716484588,49.915,0.112199,-0.167233,1.040188,59.598380,0.000000,-0.001079
112,go2_001,1441375000000,1776178063766590075,50.105,0.112199,-0.167233,1.040466,59.614330,0.000000,0.009221
113,go2_001,1441435000000,1776178063816473069,49.883,0.112199,-0.167233,1.040332,59.606610,0.000000,-0.001826
114,go2_001,1441475000000,1776178063866578280,50.105,0.112199,-0.167233,1.040375,59.609111,0.000000,-0.002710
115,go2_001,1441515000000,1776178063916582263,50.004,0.112199,-0.167233,1.039920,59.582999,0.000000,-0.020340
116,go2_001,1441575000000,1776178063966604579,50.022,0.112199,-0.167233,1.039482,59.557947,0.000000,-0.013279
117,go2_001,1441630000000,1776178064016689192,50.085,0.112199,-0.167233,1.039501,59.559013,0.000000,-0.006357
118,go2_001,1441695000000,1776178064066542048,49.853,0.112199,-0.167233,1.040223,59.600399,0.000000,-0.009363
119,go2_001,1441735000000,1776178064116510627,49.969,0.112199,-0.167233,1.040555,59.619389,0.000000,-0.006832
120,go2_001,1441775000000,1776178064166572013,50.061,0.112199,-0.167233,1.040362,59.608330,0.000000,-0.009028
121,go2_001,1441815000000,1776178064216689523,50.118,0.112199,-0.167233,1.040184,59.598132,0.000000,-0.007061
122,go2_001,1441875000000,1776178064266545201,49.856,0.112199,-0.167233,1.039556,59.562174,0.000000,-0.019361
123,go2_001,1441935000000,1776178064316569041,50.024,0.112199,-0.167233,1.039920,59.583046,0.000000,0.003371
124,go2_001,1441995000000,1776178064366573566,50.005,0.112199,-0.167233,1.039423,59.554538,0.000000,-0.015075
125,go2_001,1442035000000,1776178064416475421,49.902,0.112199,-0.167233,1.039804,59.576391,0.000000,-0.005815
126,go2_001,1442075000000,1776178064466577152,50.102,0.112199,-0.167233,1.040048,59.590347,0.000000,-0.006254
127,go2_001,1442115000000,1776178064516572334,49.995,0.112199,-0.167233,1.040332,59.606616,0.000000,-0.004822
128,go2_001,1442175000000,1776178064566553511,49.981,0.112199,-0.167233,1.040356,59.607981,0.000000,-0.011255
129,go2_001,1442215000000,1776178064616585863,50.032,0.112199,-0.167233,1.039686,59.569646,0.000000,-0.031821
130,go2_001,1442295000000,1776178064666576969,49.991,0.112199,-0.167233,1.039515,59.559837,0.000000,-0.022140
131,go2_001,1442335000000,1776178064716613010,50.036,0.112199,-0.167233,1.039769,59.574388,0.000000,-0.004065
